cluster,gene,mean,min,Q1,median,Q3,max
4,IGFBP2,0.0341891215753862,-0.26763224806495,-0.185847794018123,-0.161807812905793,-0.13019881100379,6.18900504733809
4,ATP1A2,0.15537444030127,-0.480705004194112,-0.369771633549582,-0.327915600064691,-0.279804004056004,6.85695723125207
4,CLIC3,0.344239850003831,-0.747283591229095,-0.563781557537627,-0.48310094122406,1.42641552093912,6.78159075458016
4,WT1,0.250032571290147,-0.691580773071885,-0.542468111899564,-0.478234679767128,-0.173244515072821,6.76871592224418
4,ADIG,0.0979510647659239,-0.45894561213037,-0.346435810994601,-0.305741382462207,-0.25974404542471,6.89461367212157
4,RHBG,-0.0049150737472721,-1.87084024128185,-1.18983196582539,-0.161257034351103,0.743423664582223,6.40652541237988
4,SPRR1A,0.464394373326418,-0.656645739216715,-0.470855025722379,-0.41338265355489,1.23050887596047,6.86946349109237
4,CIDEC,0.339098389626902,-0.671480043056134,-0.500350154947888,-0.422200077230029,-0.141130007644436,6.86882228017585
4,PPARG,-0.000639714743115243,-0.358654170126896,-0.266090934966648,-0.237880317725458,-0.202014851771283,5.6504898936144
4,PTPRO,0.100645347832473,-0.744069179761086,-0.579527009551319,-0.510642767829717,-0.17928280089243,6.54992894796996
4,LIPE,0.0700214764835919,-0.785897091087533,-0.576533316202751,-0.49633180173147,0.055203242916991,4.24173846407925
4,FXYD3,0.205754202812081,-0.434818975742058,-0.317752408465264,-0.274504535122937,-0.221055095814851,6.92859877716878
4,PLIN1,0.0779208830326766,-0.28138939418263,-0.212057828257413,-0.189247969541663,-0.162203959806218,6.51984661491396
4,THRSP,-0.0647296236542888,-0.660699963813155,-0.483689319371079,-0.424058594780184,-0.328981190593267,3.77586725020881
4,SCNN1B,-0.451064676349909,-1.62722867034555,-1.2103443134922,-0.999189730276327,-0.132403773445982,4.68428740687837
4,COX8B,0.0251805796160578,-0.243112818090726,-0.173453412415131,-0.153126118632475,-0.1260527213405,5.67574622800229
4,CDKN1C,0.116140088981345,-0.833154811121739,-0.63761767048799,-0.553808527598967,0.0401187576411075,6.78139624580851
4,RETN,0.629807493604143,-0.698707900132035,-0.512367361316286,-0.429006329917029,1.42364087222979,6.84345884333599
4,PTH1R,1.4401343329059,-1.2437993605671,0.278744019788896,1.33100204089055,2.40411687116489,6.26345579507375
4,SLC26A4,-0.100463261500125,-1.4170028706283,-1.0778527382343,-0.880303193254914,0.49773279052148,6.48739828579469
4,PRKAR2B,0.00626351569755984,-0.399106973221432,-0.301674792743462,-0.271555047084132,-0.230570119468339,6.89753283977209
4,SLC1A3,-0.0194606379020172,-0.454216345789308,-0.345756736534519,-0.309743462056044,-0.266825180235002,4.69074453022281
4,PSCA,0.15191685623868,-0.483897510771952,-0.348308384505866,-0.299072487305723,-0.236990245712193,6.92635861933963
4,LY6D,0.308794721685317,-0.519485004691383,-0.373139341747651,-0.31635432954992,-0.241109939138265,6.91543269354947
4,UPK3A,0.124136587675184,-0.39037237209452,-0.279553345055577,-0.23968510965382,-0.193405151034713,5.99722580927744
4,ADIPOQ,0.205781124773598,-0.566081565035597,-0.419008561370561,-0.353084017142003,-0.268690569241562,6.63995915015872
4,APOD,0.141152997471633,-0.539226028251222,-0.401360875773483,-0.352189691834941,-0.288603884360123,6.86815713875585
4,UPK1B,-0.0174952030849496,-0.335194257491403,-0.244076178501199,-0.21558752480368,-0.180043780545122,6.93969987453766
4,PLIN4,-0.0200116563847472,-0.60363953575018,-0.451017363970965,-0.396475915907489,-0.324854623043601,6.35080928665123
4,C3,0.659643889521265,-1.76598865903252,-0.451501348693108,0.422220519121224,1.57685955063521,6.43095458988432
4,CIDEA,0.0575448493077707,-0.277577959944092,-0.19724549370315,-0.169966725256609,-0.138983995156436,6.95687576677534
8,IGFBP2,-0.112484098631037,-0.310344507316665,-0.24804133268774,-0.215062343217951,-0.187636918890554,3.03258261850394
8,ATP1A2,-0.28452910573509,-0.544730586320551,-0.455513212727663,-0.406413879032391,-0.368543373303435,2.08375707550952
8,CLIC3,-0.268268400318272,-0.862060704872024,-0.724743972662856,-0.642156673388734,-0.550091001413775,6.41966975799465
8,WT1,-0.0792255199311292,-0.792666536730063,-0.666539432521362,-0.599036467303628,-0.517948107058201,6.067208449226
8,ADIG,-0.253049979608507,-0.525520913923027,-0.432038191800522,-0.387686176562813,-0.349304961015584,3.50289054310957
8,RHBG,-0.309118111310802,-2.04167607695587,-1.37064713660086,-0.787985322779129,0.359383843323837,4.16891446145987
8,SPRR1A,-0.0897373511518541,-0.752068225166907,-0.612590846444151,-0.536031539021184,-0.437183972624881,6.86946349109237
8,CIDEC,-0.320987242867721,-0.769245998438675,-0.627040721887274,-0.547879357885683,-0.486310379924854,2.73860338118602
8,PPARG,-0.218015751349054,-0.413284730743515,-0.338117438787616,-0.300521263489708,-0.270648476569377,3.4465724020886
8,PTPRO,-0.126911923742753,-0.854695914946839,-0.712409587499718,-0.628932198184685,-0.541233433404474,6.76381681451484
8,LIPE,-0.0938910022779995,-0.879456887701894,-0.668015047597491,-0.587713016680752,0.556829984238596,2.68053877967567
8,FXYD3,-0.176150880498976,-0.50299551448234,-0.409181852526886,-0.360824062085242,-0.319684393990251,6.92859877716878
8,PLIN1,-0.167278117108333,-0.323594279692076,-0.265607811455581,-0.236836417485281,-0.214087078336543,3.71906894603576
8,THRSP,-0.18131141807869,-0.780588505810395,-0.613773827903471,-0.531134630626059,-0.447100936254005,2.89401247609415
8,SCNN1B,-0.317469024714416,-1.83429779956544,-1.31788959478293,-0.476447709734624,0.285796989527268,5.72895363538622
