gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,c_seurat_clusters
DNAJC12,1.65224523672512e-54,0.409903539223457,0.98,0.851,2.82484368122893e-50,0
ECI3,2.42189772454651e-54,0.366010113969751,1,0.923,4.14071853965717e-50,0
DAO,5.62457674285564e-54,0.369057596466948,1,0.886,9.61633885726029e-50,0
IGFBP4,1.7317540618889e-53,0.343631191176077,1,0.971,2.96077991961145e-49,0
PRODH,2.78577213783221e-53,0.250300534272649,1,0.992,4.76283462405173e-49,0
GALNT11,3.07485013472901e-53,0.285433120891023,1,0.963,5.25707127534619e-49,0
ABCA3,3.71377279296179e-53,0.285158447912363,1,0.969,6.34943734412676e-49,0
SLC22A18,3.73058357108325e-53,0.30641609803856,1,0.955,6.37817873148103e-49,0
DAB2,6.30448162676198e-53,0.360824926276138,1,0.909,1.0778772237275e-48,0
CDA,9.81574457430391e-53,0.27866553867381,1,0.979,1.67819784986874e-48,0
ASL,2.18242691447237e-52,0.373187526096977,1,0.929,3.73129529567341e-48,0
CLEC2H,5.07423320449753e-52,0.547450743003674,0.86,0.366,8.67541650972943e-48,0
CUBN,6.22239550070319e-52,0.365039956075399,1,0.912,1.06384295875522e-47,0
SLC7A9,6.91256641668489e-52,0.422716078615557,0.996,0.811,1.18184148026062e-47,0
EPCAM,7.38083802952491e-52,-0.489011101384172,0.872,0.98,1.26190187790787e-47,0
ASPA,1.43744829365406e-51,0.429431890538973,0.992,0.796,2.45760534766035e-47,0
CYP4A10,1.50081578979739e-51,0.354074841193103,1,0.951,2.5659447558166e-47,0
TMEM174,2.56635338360701e-51,0.316120362880107,1,0.922,4.38769437995291e-47,0
CGREF1,3.76278493491625e-51,0.375121663271749,1,0.885,6.43323340322631e-47,0
CYP2D12,9.42045760109136e-51,0.573502874039677,0.912,0.57,1.61061563605859e-46,0
RDH16,1.15755112441958e-50,0.393132685538631,1,0.844,1.97906515742015e-46,0
SUCLG2,1.43027392661136e-50,0.275226981355593,1,0.976,2.44533933232744e-46,0
KCNK1,2.28651958692069e-50,-0.48798739907446,0.904,0.976,3.90926253775831e-46,0
ADTRP,3.42835948668635e-50,0.439214168790896,0.976,0.76,5.86146621438765e-46,0
EPHX2,7.03333884897949e-50,0.320206270698526,1,0.929,1.20248994301002e-45,0
SELENOW,1.03975275309617e-49,-0.335548953672855,0.952,0.987,1.77766528196853e-45,0
PBLD1,2.29889686020699e-49,0.386671140871534,0.992,0.84,3.9304239618959e-45,0
HGD,4.05464788167482e-49,0.318241583874466,1,0.941,6.93223148329943e-45,0
GSTA3,4.28651325373805e-49,0.3691956615304,0.988,0.882,7.32865170991594e-45,0
GSN,6.99960204016419e-49,-0.440850999653691,0.876,0.981,1.19672196080687e-44,0
IFITM3,7.06087873700505e-49,-0.326240620129736,0.984,0.995,1.20719843766575e-44,0
AFMID,2.68822821015051e-48,0.507313943768606,0.848,0.41,4.59606377089433e-44,0
DHCR24,3.2436661273319e-48,0.401032616948862,1,0.843,5.54569597789935e-44,0
HBB-BT,3.4556175294704e-48,-0.288948077664352,1,1,5.90806929013554e-44,0
AK4,3.66263886093263e-48,0.355055518581546,1,0.882,6.26201366053652e-44,0
NUS1,7.39464804573485e-48,0.278783521599448,1,0.962,1.26426297637929e-43,0
TMSB10,7.74103649239141e-48,-0.397656735744997,0.916,0.991,1.32348500910416e-43,0
INMT,1.1117969075606e-47,0.408158933685153,1,0.862,1.90083917285636e-43,0
ACOX3,1.3924933655898e-47,0.347739548152259,1,0.893,2.38074590714889e-43,0
ABCG2,1.57674771518349e-47,0.304996839808473,1,0.939,2.69576556864922e-43,0
BCAM,1.66517738119925e-47,-0.407836711818069,0.9,0.987,2.84695376863635e-43,0
SLC22A22,6.78873561110397e-47,0.504482586308029,0.828,0.387,1.16067012743045e-42,0
CES1E,7.84032037048266e-47,0.521149293604239,0.952,0.558,1.34045957374142e-42,0
DGAT2,1.67017459121001e-46,0.327783889691652,1,0.902,2.85549749859176e-42,0
SLC19A1,3.49437522566615e-46,0.355363240846482,0.992,0.865,5.97433332332141e-42,0
DYNLL1,3.71166578987276e-46,-0.320368966112106,0.948,0.993,6.34583500094545e-42,0
TIMD2,3.82132821081501e-46,0.475179183840331,0.964,0.638,6.53332484203042e-42,0
TINAGL1,3.93899725509436e-46,-0.532327814302864,0.664,0.927,6.73450360703484e-42,0
PDZK1,7.06396529120179e-46,0.276493650282381,1,0.955,1.20772614583677e-41,0
MRPS6,1.55680137388456e-45,-0.362831884425441,0.992,0.997,2.66166330893044e-41,0
D630029K05RIK,1.62580575554557e-45,0.389302167515795,1,0.845,2.77964010025626e-41,0
PECR,2.00442634540355e-45,0.335257719733595,1,0.904,3.42696772273646e-41,0
CES1F,2.29373393532401e-45,0.339153409982951,1,0.922,3.92159690922346e-41,0
KYNU,1.37131997966445e-44,0.442754669440571,0.66,0.226,2.3445457692323e-40,0
PCOLCE,1.43335183374846e-44,-0.365194680127904,0.9,0.98,2.45060163015974e-40,0
LRRC19,1.63263143537032e-44,0.401753091679744,0.992,0.785,2.79130996505263e-40,0
MAF,1.72690017614869e-44,0.454397704529035,1,0.812,2.95248123116142e-40,0
SUCNR1,3.36930118713661e-43,0.469112246927515,0.768,0.343,5.76049423964746e-39,0
CYP2J13,3.9058780074044e-43,0.473039980718201,0.896,0.51,6.6778796292593e-39,0
CKB,4.42672979415836e-43,-0.354815942994668,0.968,0.993,7.56837992907255e-39,0
FAM151A,5.08671296107746e-43,0.497311396650653,0.98,0.653,8.69675314955413e-39,0
UGT3A2,1.05970940574403e-42,0.252465276096828,1,0.983,1.81178517100057e-38,0
SLC26A1,1.25837927511519e-42,0.478016860574305,0.916,0.509,2.15145104666443e-38,0
TNFRSF21,1.3953397890993e-42,0.283300584117379,1,0.948,2.38561243742307e-38,0
